Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\gelbes_Salz.txt
Date / time: 30.11.2022, 10:07:38
Sample: gelbes Blutlaugensalz
Comments: 20mV Antriebsspannung, gelbes Blutlaugensalz
Channel #	Counts	Counts (folded)
    859	 200714	      0
    860	 200634	      0
    861	 201365	      0
    862	 200911	      0
    863	 200844	      0
    864	 200642	      0
    865	 200748	      0
    866	 201380	      0
    867	 201288	      0
    868	 200384	      0
    869	 201073	      0
    870	 201327	      0
    871	 200566	      0
    872	 201025	      0
    873	 200322	      0
    874	 201318	      0
    875	 200416	      0
    876	 201352	      0
    877	 200741	      0
    878	 201292	      0
    879	 201333	      0
    880	 201005	      0
    881	 201544	      0
    882	 201326	      0
    883	 201049	      0
    884	 201075	      0
    885	 200778	      0
    886	 200879	      0
    887	 200392	      0
    888	 201157	      0
    889	 199975	      0
    890	 201742	      0
    891	 200309	      0
    892	 201148	      0
    893	 200955	      0
    894	 200600	      0
    895	 201241	      0
    896	 201382	      0
    897	 200957	      0
    898	 200830	      0
    899	 200951	      0
    900	 200948	      0
    901	 200601	      0
    902	 200764	      0
    903	 200725	      0
    904	 200639	      0
    905	 200783	      0
    906	 200468	      0
    907	 200131	      0
    908	 201322	      0
    909	 201034	      0
    910	 201156	      0
    911	 200739	      0
    912	 201060	      0
    913	 200752	      0
    914	 199994	      0
    915	 200675	      0
    916	 201843	      0
    917	 201030	      0
    918	 200611	      0
    919	 201087	      0
    920	 201612	      0
    921	 202172	      0
    922	 200986	      0
    923	 201405	      0
    924	 200933	      0
    925	 200923	      0
    926	 201175	      0
    927	 200614	      0
    928	 200463	      0
    929	 201222	      0
    930	 201137	      0
    931	 200867	      0
    932	 199907	      0
    933	 201727	      0
    934	 201176	      0
    935	 200959	      0
    936	 201346	      0
    937	 201325	      0
    938	 200615	      0
    939	 200792	      0
    940	 200353	      0
    941	 201036	      0
    942	 202188	      0
    943	 201066	      0
    944	 201525	      0
    945	 200682	      0
    946	 201585	      0
    947	 200868	      0
    948	 200795	      0
    949	 201376	      0
    950	 200365	      0
    951	 200326	      0
    952	 201326	      0
    953	 200841	      0
    954	 200384	      0
    955	 201107	      0
    956	 201405	      0
    957	 200617	      0
    958	 200968	      0
    959	 201649	      0
    960	 201567	      0
    961	 200234	      0
    962	 200838	      0
    963	 200910	      0
    964	 201692	      0
    965	 200632	      0
    966	 201462	      0
    967	 200432	      0
