Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Stahl_folie.txt
Date / time: 23.11.2022, 15:36:22
Sample: Edelstahlfolie
Comments: 22mV Antriebsspannung, 25µm Edelstahlfolie
Channel #	Counts	Counts (folded)
    555	  20604	      0
    556	  20591	      0
    557	  20711	      0
    558	  20376	      0
    559	  20455	      0
    560	  20313	      0
    561	  20458	      0
    562	  20364	      0
    563	  20249	      0
    564	  20260	      0
    565	  20513	      0
    566	  20286	      0
    567	  20540	      0
    568	  20517	      0
    569	  20511	      0
    570	  20550	      0
    571	  20567	      0
    572	  20858	      0
    573	  20362	      0
    574	  20523	      0
    575	  20346	      0
    576	  20500	      0
    577	  20441	      0
    578	  20308	      0
    579	  20689	      0
    580	  20340	      0
    581	  20629	      0
    582	  20724	      0
    583	  20338	      0
    584	  20399	      0
    585	  20395	      0
    586	  20593	      0
    587	  20577	      0
    588	  20512	      0
    589	  20470	      0
    590	  20499	      0
    591	  20607	      0
    592	  20454	      0
    593	  20694	      0
    594	  20442	      0
    595	  20292	      0
    596	  20504	      0
    597	  20361	      0
    598	  20455	      0
    599	  20356	      0
    600	  20390	      0
    601	  20323	      0
    602	  20410	      0
    603	  20294	      0
    604	  20588	      0
    605	  20526	      0
    606	  20514	      0
    607	  20492	      0
    608	  20635	      0
    609	  20599	      0
    610	  20329	      0
    611	  20396	      0
    612	  20415	      0
    613	  20510	      0
    614	  20409	      0
    615	  20720	      0
    616	  20393	      0
    617	  20259	      0
    618	  20496	      0
    619	  20456	      0
    620	  20534	      0
    621	  20431	      0
    622	  20259	      0
    623	  20286	      0
    624	  20636	      0
    625	  20309	      0
    626	  20681	      0
    627	  20503	      0
    628	  20616	      0
    629	  20519	      0
    630	  20287	      0
    631	  20435	      0
    632	  20411	      0
    633	  20458	      0
    634	  20357	      0
    635	  20528	      0
    636	  20378	      0
    637	  20381	      0
    638	  20586	      0
    639	  20365	      0
    640	  20493	      0
    641	  20183	      0
    642	  20444	      0
    643	  20572	      0
    644	  20161	      0
    645	  20120	      0
    646	  20317	      0
    647	  20392	      0
    648	  20497	      0
    649	  20454	      0
    650	  20220	      0
    651	  20375	      0
    652	  20611	      0
    653	  20246	      0
    654	  20497	      0
    655	  20412	      0
    656	  20493	      0
    657	  20327	      0
    658	  20164	      0
    659	  20673	      0
    660	  20529	      0
    661	  20637	      0
    662	  20242	      0
    663	  20349	      0
    664	  20227	      0
    665	  20374	      0
    666	  20116	      0
    667	  20410	      0
    668	  20434	      0
    669	  20463	      0
    670	  20219	      0
    671	  20402	      0
    672	  20326	      0
    673	  20459	      0
    674	  20413	      0
    675	  20592	      0
    676	  20530	      0
    677	  20588	      0
    678	  20240	      0
    679	  20439	      0
    680	  20477	      0
    681	  20521	      0
    682	  20608	      0
    683	  20565	      0
    684	  20500	      0
    685	  20182	      0
    686	  20267	      0
    687	  20408	      0
    688	  20249	      0
    689	  20551	      0
    690	  20317	      0
    691	  20234	      0
    692	  20529	      0
    693	  20480	      0
    694	  20638	      0
    695	  20450	      0
    696	  20396	      0
    697	  20402	      0
    698	  20305	      0
    699	  20340	      0
    700	  20493	      0
    701	  20494	      0
    702	  20274	      0
    703	  20607	      0
    704	  19973	      0
    705	  20372	      0
    706	  20320	      0
    707	  20446	      0
    708	  20160	      0
    709	  20265	      0
    710	  20595	      0
    711	  20262	      0
    712	  20551	      0
    713	  20167	      0
    714	  20405	      0
    715	  20240	      0
    716	  20217	      0
    717	  20246	      0
    718	  20507	      0
    719	  20288	      0
    720	  20481	      0
    721	  20199	      0
    722	  19994	      0
    723	  20059	      0
    724	  20358	      0
    725	  20243	      0
    726	  19856	      0
    727	  20011	      0
    728	  19886	      0
    729	  19738	      0
    730	  20169	      0
    731	  19777	      0
    732	  20090	      0
    733	  19792	      0
    734	  19676	      0
    735	  19844	      0
    736	  19604	      0
    737	  19656	      0
    738	  19403	      0
    739	  19375	      0
    740	  19448	      0
    741	  19258	      0
    742	  19025	      0
    743	  19160	      0
    744	  18876	      0
    745	  18468	      0
    746	  18084	      0
    747	  18040	      0
    748	  17476	      0
    749	  17042	      0
    750	  16764	      0
    751	  15986	      0
    752	  15678	      0
    753	  14827	      0
    754	  14269	      0
    755	  13784	      0
    756	  13242	      0
    757	  12925	      0
    758	  12689	      0
    759	  12658	      0
    760	  12513	      0
    761	  12685	      0
    762	  12539	      0
    763	  12694	      0
    764	  12764	      0
    765	  13104	      0
    766	  13339	      0
    767	  14221	      0
    768	  14705	      0
    769	  15372	      0
    770	  15953	      0
    771	  16380	      0
    772	  16791	      0
    773	  17164	      0
    774	  17577	      0
    775	  17880	      0
    776	  18448	      0
    777	  18581	      0
