Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\rotes_salz.txt
Date / time: 30.11.2022, 13:46:27
Sample: rotes Blutlaugensalz
Comments: 10mV Antriebsspannung, rotes Blutlaugensalz
Channel #	Counts	Counts (folded)
    681	  18459	      0
    682	  18568	      0
    683	  18442	      0
    684	  18585	      0
    685	  18308	      0
    686	  18709	      0
    687	  18490	      0
    688	  18535	      0
    689	  18278	      0
    690	  18271	      0
    691	  18677	      0
    692	  18350	      0
    693	  18560	      0
    694	  18579	      0
    695	  18516	      0
    696	  18501	      0
    697	  18488	      0
    698	  18328	      0
    699	  18289	      0
    700	  18117	      0
    701	  18253	      0
    702	  18250	      0
    703	  18239	      0
    704	  18150	      0
    705	  18230	      0
    706	  18273	      0
    707	  18159	      0
    708	  18183	      0
    709	  17866	      0
    710	  17835	      0
    711	  17749	      0
    712	  17891	      0
    713	  17848	      0
    714	  17656	      0
    715	  17807	      0
    716	  17837	      0
    717	  17634	      0
    718	  17540	      0
    719	  17362	      0
    720	  17276	      0
    721	  17447	      0
    722	  16898	      0
    723	  17081	      0
    724	  16841	      0
    725	  16948	      0
    726	  16659	      0
    727	  16662	      0
    728	  16365	      0
    729	  16416	      0
    730	  16496	      0
    731	  16232	      0
    732	  16453	      0
    733	  16418	      0
    734	  16509	      0
    735	  16539	      0
    736	  16777	      0
    737	  16305	      0
    738	  16740	      0
    739	  16695	      0
    740	  16767	      0
    741	  16721	      0
    742	  16809	      0
    743	  16866	      0
    744	  16901	      0
    745	  16910	      0
    746	  17081	      0
    747	  16917	      0
    748	  16768	      0
    749	  16799	      0
    750	  16693	      0
    751	  16516	      0
    752	  16730	      0
    753	  16646	      0
    754	  16786	      0
    755	  16237	      0
    756	  16343	      0
    757	  16461	      0
    758	  16098	      0
    759	  16338	      0
    760	  16474	      0
    761	  16395	      0
    762	  16501	      0
    763	  16354	      0
    764	  16597	      0
    765	  16802	      0
    766	  16902	      0
    767	  16942	      0
    768	  17215	      0
    769	  17211	      0
    770	  17197	      0
    771	  17108	      0
    772	  17532	      0
    773	  17674	      0
    774	  17575	      0
    775	  17601	      0
    776	  17695	      0
    777	  18021	      0
    778	  17811	      0
    779	  17617	      0
    780	  17882	      0
    781	  18085	      0
    782	  18272	      0
    783	  18165	      0
    784	  18230	      0
    785	  18418	      0
    786	  18143	      0
    787	  18478	      0
    788	  18041	      0
    789	  18196	      0
    790	  18233	      0
    791	  18562	      0
    792	  18295	      0
    793	  18433	      0
    794	  18623	      0
    795	  18312	      0
    796	  18535	      0
    797	  18288	      0
    798	  18627	      0
    799	  18518	      0
    800	  18588	      0
    801	  18616	      0
    802	  18652	      0
    803	  18520	      0
    804	  18468	      0
    805	  18236	      0
    806	  18324	      0
    807	  18152	      0
    808	  18406	      0
    809	  18714	      0
    810	  18461	      0
    811	  18427	      0
    812	  18624	      0
    813	  18559	      0
    814	  18552	      0
    815	  18567	      0
    816	  18844	      0
    817	  18459	      0
    818	  18761	      0
    819	  18793	      0
    820	  18837	      0
    821	  18511	      0
    822	  18599	      0
    823	  18316	      0
    824	  18530	      0
    825	  18468	      0
    826	  18604	      0
    827	  18713	      0
    828	  18629	      0
    829	  18621	      0
    830	  18577	      0
    831	  18436	      0
    832	  18519	      0
    833	  18495	      0
    834	  18557	      0
    835	  18851	      0
    836	  18588	      0
    837	  18719	      0
    838	  18541	      0
    839	  18651	      0
    840	  18611	      0
    841	  18526	      0
    842	  18707	      0
    843	  18479	      0
    844	  18716	      0
    845	  18487	      0
    846	  18645	      0
    847	  18634	      0
    848	  18802	      0
    849	  18595	      0
    850	  18551	      0
    851	  18493	      0
    852	  18604	      0
    853	  18733	      0
    854	  18485	      0
    855	  18428	      0
    856	  18737	      0
    857	  18716	      0
    858	  18602	      0
    859	  18475	      0
    860	  18581	      0
    861	  18681	      0
    862	  18522	      0
    863	  18701	      0
    864	  18595	      0
    865	  18645	      0
    866	  18722	      0
    867	  18599	      0
    868	  18602	      0
    869	  18675	      0
    870	  18465	      0
    871	  18660	      0
    872	  18583	      0
    873	  18631	      0
    874	  18747	      0
    875	  18686	      0
    876	  18835	      0
    877	  18820	      0
    878	  18431	      0
    879	  18751	      0
    880	  18693	      0
    881	  18669	      0
    882	  18703	      0
    883	  18877	      0
    884	  18669	      0
    885	  18693	      0
    886	  18601	      0
    887	  18501	      0
    888	  18542	      0
    889	  18597	      0
    890	  18626	      0
    891	  18663	      0
    892	  18756	      0
    893	  18627	      0
    894	  18571	      0
    895	  18486	      0
    896	  18599	      0
    897	  18628	      0
    898	  18600	      0
    899	  18685	      0
    900	  18758	      0
    901	  18778	      0
    902	  18538	      0
    903	  18711	      0
    904	  18684	      0
    905	  18718	      0
    906	  18516	      0
    907	  18565	      0
    908	  18672	      0
    909	  18535	      0
    910	  18765	      0
    911	  18723	      0
    912	  18661	      0
    913	  18782	      0
    914	  18987	      0
    915	  18443	      0
    916	  18876	      0
    917	  18731	      0
    918	  18568	      0
    919	  18460	      0
    920	  18709	      0
    921	  18673	      0
    922	  18592	      0
    923	  18594	      0
    924	  18701	      0
    925	  18617	      0
    926	  18621	      0
    927	  18657	      0
    928	  18682	      0
    929	  18615	      0
    930	  18610	      0
    931	  18621	      0
    932	  18487	      0
    933	  18731	      0
    934	  18696	      0
    935	  18720	      0
    936	  18556	      0
    937	  18585	      0
    938	  18642	      0
    939	  18713	      0
    940	  18661	      0
    941	  18383	      0
    942	  18514	      0
    943	  18840	      0
    944	  18677	      0
    945	  18713	      0
    946	  18617	      0
    947	  18493	      0
    948	  18713	      0
    949	  18596	      0
    950	  18690	      0
    951	  18474	      0
    952	  18894	      0
    953	  18724	      0
    954	  18577	      0
    955	  18690	      0
    956	  18661	      0
    957	  18709	      0
    958	  18729	      0
    959	  18472	      0
    960	  18643	      0
    961	  18638	      0
    962	  18805	      0
    963	  18647	      0
    964	  18587	      0
    965	  18625	      0
    966	  18750	      0
    967	  18780	      0
    968	  18592	      0
    969	  18809	      0
    970	  18559	      0
    971	  18526	      0
    972	  18886	      0
    973	  18570	      0
    974	  18636	      0
    975	  18708	      0
    976	  18888	      0
    977	  18847	      0
    978	  18622	      0
    979	  18729	      0
    980	  18646	      0
    981	  18677	      0
    982	  18651	      0
    983	  18773	      0
    984	  18524	      0
    985	  18507	      0
    986	  18703	      0
    987	  18556	      0
    988	  18554	      0
    989	  18575	      0
    990	  18505	      0
    991	  18779	      0
    992	  18796	      0
    993	  18663	      0
    994	  18788	      0
    995	  18668	      0
    996	  18564	      0
    997	  18700	      0
    998	  18768	      0
    999	  18816	      0
   1000	  18519	      0
   1001	  18770	      0
   1002	  18468	      0
   1003	  18493	      0
   1004	  18662	      0
   1005	  18499	      0
   1006	  18777	      0
   1007	  18767	      0
   1008	  18523	      0
   1009	  18599	      0
   1010	  18668	      0
   1011	  18730	      0
   1012	  18477	      0
   1013	  18772	      0
   1014	  18535	      0
   1015	  18565	      0
   1016	  18823	      0
   1017	  18709	      0
   1018	  18734	      0
   1019	  18304	      0
   1020	  18629	      0
   1021	  18718	      0
   1022	  18352	      0
   1023	  18709	      0
