Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Eisen_folie.txt
Date / time: 23.11.2022, 12:46:26
Sample: Eisenfolie
Comments: 63mV Antriebsspannung, 25µm Eisenfolie
Channel #	Counts	Counts (folded)
    520	  15510	      0
    521	  15528	      0
    522	  15794	      0
    523	  15384	      0
    524	  15555	      0
    525	  15496	      0
    526	  15777	      0
    527	  15744	      0
    528	  15606	      0
    529	  15633	      0
    530	  15487	      0
    531	  15519	      0
    532	  15426	      0
    533	  15575	      0
    534	  15384	      0
    535	  15614	      0
    536	  15317	      0
    537	  15659	      0
    538	  15545	      0
    539	  15463	      0
    540	  15470	      0
    541	  15280	      0
    542	  15492	      0
    543	  15630	      0
    544	  15525	      0
    545	  15441	      0
    546	  15619	      0
    547	  15491	      0
    548	  15444	      0
    549	  15478	      0
    550	  15734	      0
    551	  15555	      0
    552	  15641	      0
    553	  15367	      0
    554	  15636	      0
    555	  15497	      0
    556	  15326	      0
    557	  15454	      0
    558	  15627	      0
    559	  15771	      0
    560	  15595	      0
    561	  15411	      0
    562	  15741	      0
    563	  15542	      0
    564	  15625	      0
    565	  15545	      0
    566	  15273	      0
    567	  15449	      0
    568	  15428	      0
    569	  15337	      0
    570	  15388	      0
    571	  15656	      0
    572	  15598	      0
    573	  15350	      0
    574	  15624	      0
    575	  15543	      0
    576	  15453	      0
    577	  15450	      0
    578	  15477	      0
    579	  15509	      0
    580	  15819	      0
    581	  15708	      0
    582	  15547	      0
    583	  15421	      0
    584	  15613	      0
    585	  15550	      0
    586	  15645	      0
    587	  15522	      0
    588	  15520	      0
    589	  15494	      0
    590	  15448	      0
    591	  15666	      0
    592	  15459	      0
    593	  15676	      0
    594	  15348	      0
    595	  15426	      0
    596	  15399	      0
    597	  15670	      0
    598	  15374	      0
    599	  15696	      0
    600	  15531	      0
    601	  15396	      0
    602	  15441	      0
    603	  15332	      0
    604	  15291	      0
    605	  15425	      0
    606	  15531	      0
    607	  15672	      0
    608	  15559	      0
    609	  15573	      0
    610	  15531	      0
    611	  15458	      0
    612	  15506	      0
    613	  15560	      0
    614	  15254	      0
    615	  15535	      0
    616	  15419	      0
    617	  15421	      0
    618	  15541	      0
    619	  15409	      0
    620	  15511	      0
    621	  15305	      0
    622	  15604	      0
    623	  15560	      0
    624	  15741	      0
    625	  15619	      0
    626	  15395	      0
    627	  15606	      0
    628	  15418	      0
    629	  15643	      0
    630	  15427	      0
    631	  15623	      0
    632	  15487	      0
    633	  15625	      0
    634	  15448	      0
    635	  15320	      0
    636	  15582	      0
    637	  15483	      0
    638	  15551	      0
    639	  15450	      0
    640	  15572	      0
    641	  15422	      0
    642	  15332	      0
    643	  15656	      0
    644	  15716	      0
    645	  15579	      0
    646	  15672	      0
    647	  15538	      0
    648	  15450	      0
    649	  15496	      0
    650	  15521	      0
    651	  15626	      0
    652	  15503	      0
    653	  15408	      0
    654	  15701	      0
    655	  15460	      0
    656	  15646	      0
    657	  15505	      0
    658	  15380	      0
    659	  15377	      0
    660	  15319	      0
    661	  15724	      0
    662	  15428	      0
    663	  15588	      0
    664	  15184	      0
    665	  15363	      0
    666	  15188	      0
    667	  15227	      0
    668	  15265	      0
    669	  15308	      0
    670	  15304	      0
    671	  15089	      0
    672	  14901	      0
    673	  14548	      0
    674	  14150	      0
    675	  13835	      0
    676	  13152	      0
    677	  12403	      0
    678	  12011	      0
    679	  12259	      0
    680	  12620	      0
    681	  13362	      0
    682	  13889	      0
    683	  14396	      0
    684	  14497	      0
    685	  14774	      0
    686	  15074	      0
    687	  15082	      0
    688	  15084	      0
    689	  15097	      0
    690	  15290	      0
    691	  15295	      0
    692	  15125	      0
    693	  15379	      0
    694	  15302	      0
    695	  15220	      0
    696	  15411	      0
    697	  15444	      0
    698	  15584	      0
    699	  15425	      0
    700	  15660	      0
    701	  15489	      0
    702	  15425	      0
    703	  15330	      0
    704	  15511	      0
    705	  15338	      0
    706	  15413	      0
    707	  15223	      0
    708	  15211	      0
    709	  15312	      0
    710	  15347	      0
    711	  15287	      0
    712	  15115	      0
    713	  14773	      0
    714	  14634	      0
    715	  13822	      0
    716	  13504	      0
    717	  12870	      0
    718	  12356	      0
    719	  13373	      0
    720	  13935	      0
    721	  14415	      0
    722	  14688	      0
    723	  14826	      0
    724	  15413	      0
